title,price,rating,reviews,availability
"SAMSUNG Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Zoom Camera, Long Battery Life, S Pen, US Version, 2024, Titanium Gray",,4.4 out of 5 stars,"1,284 ratings",In Stock
"UMIDIGI Rugged Unlocked Cell Phones, Bison 2 PRO 8G+256GB, Rugged Smartphone with IP68 & IP69K, 6150mAh Mobile Phone, Android 12, NFC, 6.5"" FHD, 48MP AI Triple Camera, Dual 4G, 18W, Type-C, GPS",,4.1 out of 5 stars,11 ratings,In Stock
Peak Design Mobile Wallet Slim,,4.3 out of 5 stars,315 ratings,In Stock
"ESR for Samsung Galaxy S24 Plus Case, Kickstand S24 Plus Cover with 3 Stand Modes, Military-Grade Drop Protection, Shockproof Slim Phone Case with Patented Kickstand, Boost Series, Clear",,4.7 out of 5 stars,262 ratings,In Stock
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",,4.2 out of 5 stars,396 ratings,In Stock
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",,4.2 out of 5 stars,"1,997 ratings",In Stock
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",,4.3 out of 5 stars,700 ratings,Only 12 left in stock - order soon.
"Lenovo Newest 15.6"" FHD Laptop, Intel Pentium N6000 Quad-core Processor, 16GB Memory, 1TB SSD Storage, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Windows 11 Home, WOWPC USB Bundle",,4.4 out of 5 stars,53 ratings,In Stock
"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 40GB RAM, 2TB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",,4.4 out of 5 stars,272 ratings,Temporarily out of stock.
"15.6"" Windows 11 Laptop, Intel Core i3-5005U, 16GB RAM, 512GB SSD, FHD IPS Display, 2.4G/5G WiFi, BT5.0, RJ45, Type C, Webcam, Long Battery Life - for Work, Study, and Entertainment",,4.5 out of 5 stars,185 ratings,In Stock
"14"" Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop Computer, 4C/4T Intel Celeron N4120 Processors, Up to 2.6GHz, Intel UHD Graphics 600, Ultra Slim, Long Battery Life, 2.4G/5G WiFi, BT 5.0, HDMI",,4.0 out of 5 stars,13 ratings,In Stock
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",,4.1 out of 5 stars,"1,161 ratings",In Stock
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",,3.9 out of 5 stars,"1,346 ratings",Only 3 left in stock - order soon.
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB Emmc+ 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",,4.4 out of 5 stars,"1,772 ratings",
"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",,4.2 out of 5 stars,173 ratings,Only 1 left in stock - order soon.
"SGIN Laptop Computer, 15.6 inch Laptop, Laptops with 4GB DDR4 RAM 128GB SSD, N4000 Processor, Webcam, Type-C, Mini HDMI, 53200mWh Battery, WiFi5, 2xUSB 3.2(Sliver)",,5.0 out of 5 stars,1 rating,In Stock
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",,4.2 out of 5 stars,63 ratings,In Stock
"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",,4.2 out of 5 stars,"1,091 ratings",Only 6 left in stock - order soon.
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",,3.6 out of 5 stars,773 ratings,Only 1 left in stock - order soon.
"SAMSUNG 14"" Galaxy Book3 Pro Business Laptop Computer/Windows 11 PRO / 16GB / 512GB, 13th Gen Intel® Core™ i5 processor, Intel® Evo™ platform, Lightweight, 2023 Model, NP944XFG-KC2US, Graphite",,4.1 out of 5 stars,83 ratings,In Stock
"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",,4.2 out of 5 stars,437 ratings,In Stock
"HP Newest 15.6"" FHD Essential Business Laptop, Intel Core i5-1135G7 Processor, 32GB RAM, 1TB Storage, Intel Iris Xe Graphics, SD Card Reader, HDMI, Ethernet, Webcam, USB-C, Windows 11 Pro",,4.2 out of 5 stars,17 ratings,Only 4 left in stock - order soon.
"HP Portable Laptop (Include 1 Year Microsoft 365), 14’’ HD Display, 8GB RAM, 64GB eMMC, Intel Quad-Core N4120, Student and Business, Webcam, HDMI, Wi-Fi, RJ-45, Windows 11 Home, Pink",,4.2 out of 5 stars,963 ratings,Only 10 left in stock - order soon.
"hp Newest 15.6"" Anti-Glare HD Laptop, Intel Quad-core Processor, 16GB RAM, 128GB SSD+ 128GB JVQ USB Storage, Office 365 1-Year, Up to 11 hrs Long Battery, Win11 S, Scarlet Red",,4.4 out of 5 stars,337 ratings,In Stock
"15.6” Laptop Computer with Ethernet, 11th Gen Intel Jasper Lake Processor, Windows 11 Laptop for Student & Businessman, 16GB RAM & 512 SSD, Full Function Type-C, 1080P FHD IPS, HDMI, Gray",,4.2 out of 5 stars,16 ratings,In Stock
"HP Stream 14-inch Laptop for Student and Business - Intel Quad-Core Processor, 16GB RAM, 320GB Storage (64GB eMMC + 256GB Card), 1-Year Office 365, Webcam, 11H Long Battery Life, Wi-Fi, Win11 H in S",,4.4 out of 5 stars,"1,623 ratings",Only 3 left in stock - order soon.
330W AC Adapter Charger Fit for HP OMEN 17 17-ck1111nr 17-ck1020nr 17-ck0000 17-ck1021nr 17-cm2047nr 17-ck1010nr TPN-DA60 OMEN 7 Plus 9 Plus Gaming Laptop Charger,,Previous page of related Sponsored Products,,Only 11 left in stock - order soon.
230W Laptop Charger for Razer Blade: RC30-0248 Laptop AC Adapter Power Supply for Razer Blade Pro 17 4K Laptop and Razer Blade 15 Base Advanced 2019 GTX1060 GTX1070 RTX2070 RTX2080 19.5V 11.8A,,Previous page of related Sponsored Products,,In Stock
65W ThinkPad Typec Charger for Lenovo ThinkPad E480 E485 E580 T470 T480 L380 L480 L490 X270 X280 X380 ADLX65YDC2A ADLX65YLC2D ADLX65YDC3A ADLX65YDC2D USB C Laptop Adapter,,5.0 out of 5 stars,1 rating,In Stock
"INSIGNIA 32-inch Class F20 Series Smart HD 720p Fire TV with Alexa Voice Remote (NS-32F201NA23, 2022 Model)",,4.6 out of 5 stars,"19,539 ratings",Not Available
"INSIGNIA 42-inch Class F20 Series Smart Full HD 1080p Fire TV with Alexa Voice Remote (NS-42F201NA23, 2022 Model)",,4.5 out of 5 stars,"6,971 ratings",Not Available
"VIZIO 40-inch D-Series Full HD 1080p Smart TV with AMD FreeSync, Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D40f-J09, 2022 Model",,4.3 out of 5 stars,"10,948 ratings",In Stock
"Amazon Fire TV 32"" 2-Series HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",,4.5 out of 5 stars,"7,586 ratings",In Stock
"Roku Smart TV – 50-Inch Select Series 4K HDR RokuTV Enhanced Voice Remote, Brilliant 4K Picture, Automatic Brightness, & Seamless Streaming – Live Local News, Sports, Family Entertainment",,4.5 out of 5 stars,884 ratings,Not Available
"Roku 40"" Select Series 1080p Full HD Smart RokuTV with Voice Remote, Bright Picture, Customizable Home Screen, and Free TV",,4.6 out of 5 stars,468 ratings,In Stock
"TCL 55-Inch Class S4 4K LED Smart TV with Fire TV (55S450F, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",,4.4 out of 5 stars,"2,320 ratings",Not Available
"VIZIO 32 inch D-Series HD 720p Smart TV with Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D32h-J, 2022 Model",,4.3 out of 5 stars,"1,005 ratings",In Stock
"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Chromecast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",,2.9 out of 5 stars,6 ratings,In Stock
"Amazon Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Fire TV Ambient Experience, local dimming, hands-free with Alexa",,4.5 out of 5 stars,"3,608 ratings",In Stock
"SAMSUNG 43-Inch Class 4K Crystal UHD DU8000 Series HDR Smart TV w/Object Tracking Sound Lite, Motion Xcelerator 120Hz, Ultra Slim Design, Gaming Hub, Alexa Built-in (UN43DU8000, 2024 Model)",,4.8 out of 5 stars,8 ratings,Not Available
"Sony 43 Inch 4K Ultra HD TV X77L Series: LED Smart Google TV KD43X77L- 2023 Model, Black",,4.3 out of 5 stars,"1,123 ratings",Not Available
"Hisense 40-Inch Class A4 Series FHD 1080p Google Smart TV (40A4K) - DTS Virtual: X, Game & Sports Modes, Chromecast Built-in, Alexa Compatibility, Black",,4.3 out of 5 stars,630 ratings,In Stock
"TCL 40-Inch Class S3 1080p LED Smart TV with Roku TV (40S350R, 2023 Model), Compatible with Alexa, Google Assistant, and Apple HomeKit Compatibility, Streaming FHD Television,Black",,4.5 out of 5 stars,"1,308 ratings",Not Available
"VIZIO 32-inch D-Series Full HD 1080p Smart TV with Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D32fM-K01, 2023 Model",,4.2 out of 5 stars,966 ratings,In Stock
"TCL 50-Inch Class S4 4K LED Smart TV with Google (50S450G, 2023 Model), Dolby Vision, HDR Pro, Atmos, Assistant Built-in Voice Remote, Works Alexa, Streaming UHD Television",,4.2 out of 5 stars,617 ratings,Not Available
"LG Electronics 24LM530S-PU 24-Inch HD webOS 3.5 Smart TV, Black",,4.3 out of 5 stars,"2,661 ratings",Not Available
"SAMSUNG 32-inch Class LED Smart FHD TV 1080P (UN32N5300AFXZA, 2018 Model), Black",,4.5 out of 5 stars,"12,792 ratings",In Stock
"SAMSUNG 32-Inch Class QLED 4K Q60D Series Quantum HDR Smart TV w/Object Tracking Sound Lite, Motion Xcelerator, Slim Design, Gaming Hub, Alexa Built-in (QN32Q60D, 2024 Model)",,4.4 out of 5 stars,69 ratings,In Stock
INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24),,4.4 out of 5 stars,"11,832 ratings",Not Available
"Amazon Fire TV 32"" 2-Series HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",,4.5 out of 5 stars,"7,586 ratings",In Stock
"2024 TV Antenna for Smart and Old TVs, Upgraded Full 360° Signal Reception Digital Antenna for Local Channels, HD Antenna Support 4K 1080p with Signal Booster Digital HD Indoor & Outdoor",,4.5 out of 5 stars,40 ratings,In Stock
Amazon Essentials Women's Pointed-Toe Ballet Flat,,4.2 out of 5 stars,"10,354 ratings",Not Available
"Skechers Men's Relaxed Fit: Braver - Rayland, Black",,4.6 out of 5 stars,"34,881 ratings",Not Available
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe,,4.5 out of 5 stars,"21,298 ratings",Not Available
adidas Men's Daily 3.0 Sneaker,,4.7 out of 5 stars,"15,540 ratings",Not Available
Bruno Marc Men's Casual Dress Shoes,,4.4 out of 5 stars,"7,954 ratings",Not Available
New Balance Men's 608 V5 Casual Comfort Cross Trainer,,4.6 out of 5 stars,"76,823 ratings",Not Available
Reebok Men's BB4500 Hi 2 Sneaker,,4.5 out of 5 stars,"18,889 ratings",Not Available
New Balance Women's 574 Core Sneaker,,4.6 out of 5 stars,"7,925 ratings",Not Available
Nike mens Revolution 6 Road Running,,4.3 out of 5 stars,"9,149 ratings",Not Available
Skechers Men's Afterburn M. Fit,,4.4 out of 5 stars,"78,462 ratings",Not Available
adidas Men's Kaptir 3.0,,4.4 out of 5 stars,789 ratings,Not Available
Brooks Men's Adrenaline GTS 22 Supportive Running Shoe,,4.7 out of 5 stars,"14,957 ratings",Not Available
WHITIN Men's Wide Minimalist Barefoot Sneakers | Zero Drop Sole | Optimal Relaxation,,4.4 out of 5 stars,"5,342 ratings",Not Available
adidas Men's Swift Run,,4.4 out of 5 stars,684 ratings,Not Available
Brooks Men’s Revel 6 Neutral Running Shoe,,4.5 out of 5 stars,720 ratings,Not Available
"DREAM PAIRS Women’s Comfortable Ballet Dressy Work Flats, Round Toe Slip on Office Shoes",,4.3 out of 5 stars,"1,176 ratings",Not Available
Bruno Marc Men's KnitFlex Craft Mesh Oxfords Sneakers Casual Dress Lace-Up Lightweight Walking Shoes,,4.6 out of 5 stars,223 ratings,Not Available
Vostey Men's Dress Shoes Classic Wingtip Brogue Men Oxfords,,4.4 out of 5 stars,"2,677 ratings",In Stock
adidas Men's Lite Racer Adapt 5.0 Running Shoe,,4.6 out of 5 stars,"3,921 ratings",
Jousen Men's Dress Shoes Formal Leather Oxford Shoes Classical Business Derby Shoes,,4.3 out of 5 stars,349 ratings,In Stock
Mens Dress Shoes Casual Business Oxford Derby Orthopedic Leather Shoes Simple Lace-up Walk Loafers Flats Shoes for Men,,4.3 out of 5 stars,327 ratings,In Stock
Skechers Women's Squad Sr Food Service Shoe,,4.3 out of 5 stars,"47,456 ratings",Not Available
Bruno Marc Men's Casual Dress Oxfords Shoes Business Formal Derby Sneakers,,4.5 out of 5 stars,"1,125 ratings",Not Available
Skechers Mens Go Walk Max 54601,,4.6 out of 5 stars,"30,397 ratings",Not Available
Lugz Men's Clipper Classic Slip-On Fashion Sneaker,,4.3 out of 5 stars,"32,365 ratings",Not Available
Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes,,4.6 out of 5 stars,"12,354 ratings",Not Available
Under Armour Men's Charged Assert 9 Running Shoe,,4.6 out of 5 stars,"58,990 ratings",Not Available
adidas Men's AX2S Hiking Shoes,,4.6 out of 5 stars,896 ratings,Not Available
WHITIN Men's Barefoot Running Shoes | Minimalist Cross-Trainer | Zero Drop Sole,,4.2 out of 5 stars,"8,720 ratings",Not Available
Brooks Men’s Trace 2 Neutral Running Shoe,,4.6 out of 5 stars,"2,027 ratings",Not Available
Vans Men's Bearcat Sneaker,,4.5 out of 5 stars,"2,319 ratings",Not Available
adidas Men's Gamecourt 2.0 Tennis Sneaker,,4.5 out of 5 stars,204 ratings,Not Available
"Avia Avi-Union II Non Slip Shoes for Men, Hook and Loop Mens Walking Shoes with Memory Foam, Comfort Restaurant and Diabetic Shoes for Men - Black Wide or Extra Wide Width Safety Footwear",,4.2 out of 5 stars,"9,235 ratings",Not Available
Columbia Men's Bahama Vent Relaxed PFG Boat Shoe,,4.6 out of 5 stars,68 ratings,Not Available
Under Armour Men's Charged Assert 10,,4.5 out of 5 stars,"4,859 ratings",Not Available
NIKE Men's Shoes,,4.6 out of 5 stars,"9,199 ratings",Not Available
On Women's Cloud 5 Sneakers,,4.3 out of 5 stars,"6,195 ratings",Not Available
ASICS Women's Gel-Venture 9 Running Shoes,,4.4 out of 5 stars,"1,748 ratings",Not Available
Skechers Men's Summits Colsin Sr Hands Free Slip-Ins Work Shoe,,4.5 out of 5 stars,970 ratings,Not Available
Nike Men's Air Zoom Pegasus 38 Running Shoe,,4.5 out of 5 stars,582 ratings,Not Available
Amazon Essentials Women's Belice Ballet Flat,,4.3 out of 5 stars,"74,059 ratings",In Stock
Mens Fashion Oxford Dress Boots Leather Chukka Ankle Boot Business Work Daily Shoes for Men,,4.3 out of 5 stars,"1,163 ratings",In Stock
Cole Haan Men's Grand Crosscourt Sneaker,,4.5 out of 5 stars,"15,714 ratings",Not Available
Skechers Mens Moreno Canvas Oxford,,4.4 out of 5 stars,"12,751 ratings",Not Available
Skechers Men's Nampa Food Service Shoe,,4.4 out of 5 stars,"13,047 ratings",Not Available
Brooks Men's Ghost 15 Neutral Running Shoe,,4.7 out of 5 stars,"5,234 ratings",Not Available
Glolily ELLE Slip-On Women's Shoes - Orthotic Lightweight Walking Sneakers with Arch Support - Comfortable Casual Fashion Shoes for Women,,4.1 out of 5 stars,377 ratings,Only 1 left in stock - order soon.
WHITIN Wide Toe Box Barefoot Sneakers for Women | Canvas Minimalist Shoes,,4.5 out of 5 stars,351 ratings,Not Available
Skechers Men's Energy Afterburn,,4.5 out of 5 stars,"49,904 ratings",Not Available
Skechers Men's GOrun Consistent Sneaker,,4.5 out of 5 stars,"15,599 ratings",Not Available
Columbia Men's Newton Ridge Plus Ii Suede Waterproof Hiking Boot,,4.6 out of 5 stars,"14,266 ratings",Not Available
Nike mens Court Legacy,,4.4 out of 5 stars,"1,389 ratings",Not Available
Reebok Women's Club C 85 Vintage Walking Shoe,,4.7 out of 5 stars,"6,962 ratings",Not Available
Skechers Mens Afterburn M fit Wonted,,4.5 out of 5 stars,"32,907 ratings",Not Available
Skechers Men's Cessnock Food Service Shoe,,4.5 out of 5 stars,"27,197 ratings",Not Available
adidas Men's Swift Run,,4.5 out of 5 stars,"4,451 ratings",Not Available
Amazon Essentials Women's Strappy Slide Flat Sandal,,4.4 out of 5 stars,"2,488 ratings",In Stock
"1000 Pcs Shoe Covers Disposable, Non-Slip, Reliable Shoe Covers for Indoors, 15.7'' Adjustable Size Great Value Boot Covers for Home, Hospitals, and Businesses",,4.2 out of 5 stars,16 ratings,In Stock
"OLUKAI Kakaha Men's Slip-On Shoes, Full-Grain Leather Sneakers, Gel Insert for Comfort & Support, Comfort Fit & Wet Grip Rubber",,4.4 out of 5 stars,197 ratings,In Stock
FitVille Diabetic Shoes for Men Extra Wide Width Orthopedic Slip-on Shoes Adjustable Closure Walking Sneakers with Arch Support Cushioning Therapeutic for Swollen Feet - Easy Top,,4.2 out of 5 stars,"1,304 ratings",In Stock
"Professional Shoe Lift for Uneven Legs, Shoe balancer, Shoe Leveler for Walking Boot, Even Up for Men & Women",,3.6 out of 5 stars,85 ratings,In Stock
Men's Sheepskin Boot Slippers Indoor Outdoor Ankle Booties with,,4.6 out of 5 stars,101 ratings,Only 1 left in stock - order soon.
Icebug Eli RB9X Walking Shoe with Traction Sole,,4.2 out of 5 stars,31 ratings,Only 1 left in stock - order soon.
Rubber Hunting Boots for Men Muck Boots Waterproof 6mm Neoprene Rain Boots Outdoor Mud Boots for Hunting Gardening Farming Fashing Yard Working in All-Season,,4.8 out of 5 stars,61 ratings,In Stock
